Q9NXB0	MKS1
Q9UKT9	IKZF3
Q9UL59	ZNF214
Q9UKT8	FBXW2
P28566	HTR1E
P54852	EMP3
Q9UKT7	FBXL3
P54851	EMP2
Q9UKT6	FBXL21P
P28562	DUSP1
Q9NXB9	ELOVL2
A6NDB9	PALM3
P15248	IL9
Q8WXC6	COPS9
P54855	UGT2B15
Q6YHU6	THADA
Q8WXC3	PYDC1
Q86XE3	MICU3
P40200	CD96
B3KXN0	cDNA FLJ45747 fis, clone LIVER2008465 {ECO:0000313|EMBL:BAG54542.1}
Q86XE0	SNX32
P16581	SELE
Q9UL62	TRPC5
Q9UKU0	ACSL6
Q9UKU6	TRHDE
P40205	MYCNOS
Q9UL63	MKLN1
Q496F6	CD300E
P30874	SSTR2
Q8WXB1	METTL21A
Q9NXC2	GFOD1
Q9UL68	MYT1L
P30876	POLR2B
Q9UKU7	ACAD8
A4D1Q5	LOC136321
Q9NXC5	MIOS
P52209	PGD
P53539	FOSB
A0A1W1GST9	ERCC4
P54868	HMGCS2
Q8WXB4	ZNF606
P15259	PGAM2
P30872	SSTR1
B3KY10	cDNA FLJ46546 fis, clone THYMU3038214, highly similar to Vam6/Vps39-like protein {ECO:0000313|EMBL:B
Q05BX2	MEF2D
Q05C92	TBXA2R
B3KY03	Condensin complex subunit 1 {ECO:0000256|PIRNR:PIRNR017127}
P42857	NSG1
P42858	HTT
Q96QZ7	MAGI1
P39210	MPV17
Q8WXA9	SREK1
P15260	IFNGR1
P16591	FER
Q9UKV3	ACIN1
Q5JC46	Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}
Q9UKV0	HDAC9
K7EKF3	ERCC2
Q86XD5	FAM131B
Q9UKV5	AMFR
Q05BX4	PSMD1
E7EN77	NCAPD2
Q9NXD2	MTMR10
A4D1P6	WDR91
Q9UKV8	AGO2
A0A191TDH3	MYL2
A4D210	EIF3S9
Q8WXA8	HTR3C
A0A3B3IRZ7	ATP6V1C2
Q9Y6A1	POMT1
Q05C82	MARCKS
B3KY12	cDNA FLJ46581 fis, clone THYMU3043200, highly similar to Splicing factor 3A subunit 3 {ECO:0000313|E
B3KY15	cDNA FLJ46595 fis, clone THYMU3045704 {ECO:0000313|EMBL:BAG54677.1}
Q9UKW4	VAV3
Q9Y6A9	SPCS1
A8MVU1	NCF1C
Q9Y6A5	TACC3
Q9Y6A4	CFAP20
Q9UKW6	ELF5
E7EMU6	UGGT2
Q496H8	NRN1L
Q9NXE8	CWC25
Q13702	RAPSN
Q5BKZ1	ZNF326
Q5BKZ2	KPNA1
Q13705	ACVR2B
B3KXR1	Eyes absent homolog {ECO:0000256|RuleBase:RU362036}
Q9Y6B2	EID1
Q05BV1	SMC2
A0A0A1EMC4	80kDa PIWIL2 short isoform {ECO:0000313|EMBL:AIY32628.1}
Q9UKX5	ITGA11
Q05BV8	TOPBP1
Q9UKX3	MYH13
Q9UKX2	MYH2
Q9Y6B6	SAR1B
Q9NXF1	TEX10
Q9UKX7	NUP50
Q86XB2	SORCS3
P42830	CXCL5
Q9Y6B7	AP4B1
Q96RA2	OR7D2
Q9UL15	BAG5
Q8WXG6	MADD
Q9UKP4	ADAMTS7
Q9Y5Y9	SCN10A
Q9UKP3	ITGB1BP2
Q9UL19	PLAAT4
Q9Y5Y6	ST14
Q8WXG1	RSAD2
A8MVV6	TSPAN4
Q9Y5Y5	PEX16
Q9UL18	AGO1
E7EN38	RAD50
Q9UL17	TBX21
Q9Y5Y7	LYVE1
Q9UKP6	UTS2R
Q8WXG9	ADGRV1
Q86XI6	PPP1R3B
Q86XI2	NCAPG2
P54819	AK2
S4R3E5	KPNA6
Q05BU7	WASF2
P15291	B4GALT1
A8MVW5	HEPACAM2
Q9UKQ2	ADAM28
Q9Y5Z0	BACE2
Q9UL26	RAB22A
Q9UL25	RAB21
Q8WXF3	RLN3
Q9Y5Z7	HCFC2
Q8WXF0	SRSF12
Q8WXF1	PSPC1
Q9UKQ9	KLK9
P54826	GAS1
Q8WXF8	DEDD2
A4D1M6	LOC392793
P54821	PRRX1
Q8WXF7	ATL1
A6NDH6	OR5H15
P42898	MTHFR
Q9BUB5	MKNK1
P54829	PTPN5
A0A0D9SEH5	STXBP1
P42892	ECE1
E7EMR6	TP53
Q9UL33	TRAPPC2L
P40238	MPL
Q9UKR3	KLK13
C9IZ76	PTPA
Q9UL32	BOK
P41567	EIF1
Q496J9	SV2C
Q9UKR0	KLK12
Q9UL36	ZNF236
Q8WXE1	ATRIP
A0A3G2JNR5	CDH1
A8MW99	MEI4
Q13733	ATP1A4
Q8WXE9	STON2
Q9BUA6	MYL10
P40222	TXLNA
Q9BUA0	IFNAR2
A6NDI8	HDAC6
K7EKM6	HSPBP1
Q9UL40	ZNF346
P40227	CCT6A
Q05C41	PRPF40A
P40225	THPO
Q9UL42	PNMA2
